row_index,pIC50,is_top5pct_target,gold_rank_by_pIC50,selection_frequency,median_selection_order
208,9.0,True,10,12,73.0
295,8.3979397,True,75,12,93.5
274,8.5850267,True,48,11,88.0
255,8.8538723,True,19,11,94.0
261,8.6989698,True,26,11,62.0
1,8.8538723,True,18,11,97.0
256,8.8239088,True,20,11,104.0
273,8.5850267,True,49,11,100.0
275,8.5850267,True,47,11,100.0
250,9.004365,True,8,10,84.0
