seed,policy,queries,targets_found,target_recall,best_pIC50
7,random,45,0,0.0,8.7447271
7,random,50,0,0.0,8.7447271
7,random,55,0,0.0,8.7447271
7,random,60,0,0.0,8.7447271
7,ucb_surrogate,20,0,0.0,8.6126099
7,ucb_surrogate,25,0,0.0,8.6126099
7,ucb_surrogate,30,0,0.0,8.6126099
7,ucb_surrogate,35,0,0.0,8.6126099
7,ucb_surrogate,40,0,0.0,8.6126099
7,ucb_surrogate,45,0,0.0,8.6126099
7,ucb_surrogate,50,0,0.0,8.6126099
7,ucb_surrogate,55,0,0.0,8.6126099
7,ucb_surrogate,60,0,0.0,8.6989698
8,random,20,0,0.0,8.6989698
8,random,25,0,0.0,8.6989698
8,random,30,0,0.0,8.6989698
8,random,35,0,0.0,8.6989698
8,random,40,0,0.0,8.6989698
8,random,45,0,0.0,8.6989698
8,random,50,0,0.0,8.6989698
8,random,55,0,0.0,8.6989698
8,random,60,0,0.0,8.6989698
8,ucb_surrogate,20,0,0.0,8.6989698
8,ucb_surrogate,25,0,0.0,8.6989698
8,ucb_surrogate,30,0,0.0,8.6989698
8,ucb_surrogate,35,0,0.0,8.6989698
8,ucb_surrogate,40,0,0.0,8.6989698
8,ucb_surrogate,45,0,0.0,8.6989698
8,ucb_surrogate,50,0,0.0,8.6989698
8,ucb_surrogate,55,0,0.0,8.6989698
8,ucb_surrogate,60,1,0.0625,9.0
9,random,20,0,0.0,8.3010302
9,random,25,0,0.0,8.3010302
9,random,30,0,0.0,8.3010302
9,random,35,0,0.0,8.3010302
9,random,40,0,0.0,8.3979397
9,random,45,0,0.0,8.7447271
9,random,50,0,0.0,8.7447271
9,random,55,0,0.0,8.7447271
9,random,60,0,0.0,8.7447271
9,ucb_surrogate,20,0,0.0,8.3010302
9,ucb_surrogate,25,0,0.0,8.5228786
9,ucb_surrogate,30,1,0.0625,9.0
9,ucb_surrogate,35,2,0.125,9.1549015
9,ucb_surrogate,40,2,0.125,9.1549015
9,ucb_surrogate,45,2,0.125,9.1549015
9,ucb_surrogate,50,3,0.1875,9.1549015
9,ucb_surrogate,55,3,0.1875,9.1549015
9,ucb_surrogate,60,3,0.1875,9.1549015
