compound_id,inchikey,molecule_chembl_ids,canonical_smiles,murcko_scaffold,pIC50,n_measurements,pIC50_iqr,document_year_min,document_year_max
TRAIN_00522,CIPLWUBAYCECKC-UHFFFAOYSA-N,CHEMBL3905234,COC1CCC2(CC1)Cc1ccc(OCc3ccccc3)cc1C21N=C(N)N(C)O1,C1=NC2(ON1)c1cc(OCc3ccccc3)ccc1CC21CCCCC1,6.05,1,0.0,2015,2015
TRAIN_00523,CIUOTWYZNOCJOF-UHFFFAOYSA-N,CHEMBL464912,NCCCCCCNCCOc1ccc(Br)cc1NC(=O)Cc1cccc2ccccc12,O=C(Cc1cccc2ccccc12)Nc1ccccc1,4.74,1,0.0,2008,2008
TRAIN_00524,CIWFAULALHGEOR-KRWDZBQOSA-N,CHEMBL1923705,C[C@H](NC(=O)c1cc(-c2ncc(-c3cccc(F)c3)[nH]2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1,O=C(NCc1ccccc1)c1cccc(-c2ncc(-c3ccccc3)[nH]2)c1,6.73,1,0.0,2011,2011
TRAIN_00525,CJFOTKBNGZVNHH-UHFFFAOYSA-N,CHEMBL1782316,O=S(=O)(c1ccc(Br)cc1)N(c1cnn(Cc2ccc(Cl)c(Cl)c2)c1)S(=O)(=O)c1ccc(Br)cc1,O=S(=O)(c1ccccc1)N(c1cnn(Cc2ccccc2)c1)S(=O)(=O)c1ccccc1,4.05,1,0.0,2009,2009
TRAIN_00526,CJGRNSIXWOGIIC-UHFFFAOYSA-N,CHEMBL238087,CC1(c2ccccc2)CC(=O)NC(N)=N1,O=C1CC(c2ccccc2)N=CN1,3.785,2,0.065,2007,2007
TRAIN_00527,CJNFIXOAWVPWLI-NFAPWKBDSA-N,CHEMBL582817,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](Nc2cccs2)NC1,c1ccc(CCCCNC2(c3ccccc3)CCC(Nc3cccs3)NC2)cc1,7.07,1,0.0,2009,2009
TRAIN_00528,CKFFGTGIMRKKOF-RGRQWMLTSA-N,CHEMBL445721,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCCN(Cc3ccccc3OC)C2=O)c1,O=C(NC(Cc1ccccc1)CC1NCCN(Cc2ccccc2)C1=O)c1ccccc1,7.28,2,1.02,2008,2008
TRAIN_00529,CKJGKUPSYYISLV-SANMLTNESA-N,CHEMBL3394040,CC1(C)C=C(c2cc3c(cn2)Oc2ccc(-c4cccnc4F)cc2[C@@]32COC(N)=N2)CCO1,C1=NC2(CO1)c1cc(-c3cccnc3)ccc1Oc1cnc(C3=CCOCC3)cc12,8.59,2,0.46,2015,2015
TRAIN_00530,CKMNYFMEILPBLI-UHFFFAOYSA-N,CHEMBL449357,COc1ccc(C2(c3csc(N)n3)CCCC2)cc1,c1ccc(C2(c3cscn3)CCCC2)cc1,4.6,1,0.0,2009,2009
TRAIN_00531,CLDOAGSYVOYMSM-UHFFFAOYSA-N,CHEMBL3951035,COc1ccc(C(=O)OCC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,O=C(CNC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)COC(=O)c1ccccc1,5.83,1,0.0,2013,2013
TRAIN_00532,CLERMUXQFLMEID-WHGJERFBSA-N,CHEMBL2204316,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)NC(=O)[C@@H](N)CCC(=O)O)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,c1ccccc1,8.8,1,0.0,2011,2011
TRAIN_00533,CLHGRAHPLPVFAC-WBAQKLHDSA-N,CHEMBL439521,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)Nc1cc(-c2nn[nH]n2)cc(-c2nn[nH]n2)c1,O=C(CCNC(=O)c1nn[nH]n1)NCC(=O)NCC(=O)NC(CC(=O)Nc1cc(-c2nn[nH]n2)cc(-c2nn[nH]n2)c1)Cc1ccccc1,8.92,1,0.0,2006,2006
TRAIN_00534,CLLUELOOOLMHGM-ZXSVIEFPSA-N,CHEMBL81490,CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](CC(F)F)NC(=O)OC(C)(C)C)C(=O)NCc1ccncc1,O=C(CCCCCc1ccccc1)NCC(=O)NCc1ccncc1,7.35,1,0.0,2004,2004
TRAIN_00535,CLLYOVRVGPCBHE-UHFFFAOYSA-N,CHEMBL3703226,CC#Cc1cc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)CO3)ncn1,C1=NC2(CO1)c1cc(-c3ccncn3)ccc1OCC21COC1,5.87,1,0.0,2015,2015
TRAIN_00536,CLNOVHQDJOWHGX-UHFFFAOYSA-N,CHEMBL3236216,COc1ccc(CNC(=O)c2c[nH]c3ccc(S(=O)(=O)Nc4ccc(C(F)(F)F)cc4)cc3c2=O)cc1,O=C(NCc1ccccc1)c1c[nH]c2ccc(S(=O)(=O)Nc3ccccc3)cc2c1=O,5.15,1,0.0,2014,2014
TRAIN_00537,CLOXVWLCRWFUQF-KBRIMQKVSA-N,CHEMBL3672688,CC1=N[C@@]2(N=C1N)c1cc(Br)ccc1C[C@]21CC[C@@H](O)CC1,C1=NC2(N=C1)c1ccccc1CC21CCCCC1,6.57,1,0.0,2015,2015
