compound_id,inchikey,molecule_chembl_ids,canonical_smiles,murcko_scaffold,n_measurements,pIC50_iqr,document_year_min,document_year_max,scaffold_novel
EXT_00253,DHLXPVPRSWFPDM-YQIRRWJHSA-N,CHEMBL5758381,CN(C)C(=O)[C@]12C[C@H]1[C@@](C)(c1cc(/C=C\F)ccc1F)N=C(N)S2,C1=NC(c2ccccc2)C2CC2S1,1,0.0,2019,2019,1
EXT_00254,DHQPJSRTYUHTOL-HPUSVVHXSA-N,CHEMBL5997909,C[C@H]1CCN1C(=O)[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3ccc(Cl)cn3)ccc1F)N=C(N)S2,O=C(N1CCC1)C12CC1C(c1cccc(C=Cc3ccccn3)c1)N=CS2,1,0.0,2019,2019,1
EXT_00255,DHQPJSRTYUHTOL-OADSIHPSSA-N,CHEMBL5811661,CC1CCN1C(=O)[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3ccc(Cl)cn3)ccc1F)N=C(N)S2,O=C(N1CCC1)C12CC1C(c1cccc(C=Cc3ccccn3)c1)N=CS2,1,0.0,2019,2019,1
EXT_00256,DHQPJSRTYUHTOL-WQBQOYPWSA-N,CHEMBL6010814,C[C@@H]1CCN1C(=O)[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3ccc(Cl)cn3)ccc1F)N=C(N)S2,O=C(N1CCC1)C12CC1C(c1cccc(C=Cc3ccccn3)c1)N=CS2,1,0.0,2019,2019,1
EXT_00257,DHUMVRSVKMQPEU-NRFANRHFSA-N,CHEMBL4128406,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C(F)F)COC3(CC3)C(N)=N2)c1,O=C(Nc1cccc(C2COC3(C=N2)CC3)c1)c1ccccn1,2,0.4,2018,2018,1
EXT_00258,DHZLVNXOHIHHEV-UHFFFAOYSA-N,CHEMBL4285991,c1cc(CN2CCCCC2)cc(-c2ccc(NCCCN3CCCCC3)c(OCCN3CCCCC3)c2)c1,c1cc(CN2CCCCC2)cc(-c2ccc(NCCCN3CCCCC3)c(OCCN3CCCCC3)c2)c1,2,0.025,2018,2018,1
EXT_00259,DIBLNVRMNVPDAB-UHFFFAOYSA-N,CHEMBL5938565,Cc1cc(C2(c3ccccc3)N=C(N)N(C)C2=O)ccc1OC(F)F,O=C1NC=NC1(c1ccccc1)c1ccccc1,1,0.0,2021,2021,0
EXT_00260,DIDCPXSDZDVMCX-NHCUHLMSSA-N,CHEMBL4565391,C[C@@]1(S(C)(=O)=O)CC[C@@](CF)(c2cc(NC(=O)c3ccc(OCF)cn3)ccc2F)N=C1N,O=C(Nc1cccc(C2CCCC=N2)c1)c1ccccn1,2,0.07,2019,2019,1
EXT_00261,DILGPRAZNUBLGP-KRWDZBQOSA-N,CHEMBL4582946,C[C@@]1(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CCSC(N)=N1,O=C(Nc1cccc(C2CCSC=N2)c1)c1ccccn1,2,0.045,2019,2019,0
EXT_00262,DIQQTCZQBJWAIV-KRWDZBQOSA-N,CHEMBL4536643,C[C@@]1(c2cc(NC(=O)c3cnc(OCC(F)(F)F)cn3)ccc2F)CCSC(N)=N1,O=C(Nc1cccc(C2CCSC=N2)c1)c1cnccn1,2,0.125,2019,2019,0
EXT_00263,DIXDZBHSEPKBHL-UHFFFAOYSA-N,CHEMBL5867948,COC1CCC2(CC1)Cc1ccc(Br)cc1C21NC(=S)N(C(C)(C)C)C1=O,O=C1NC(=S)NC12c1ccccc1CC21CCCCC1,1,0.0,2019,2019,0
EXT_00264,DJANIPFHGUAKPD-HREYTAOQSA-N,CHEMBL5794780,C[C@]1(c2cc(/C=C(\F)c3ccc(Cl)cn3)ccc2F)N=C(N)S[C@]2(CO)[C@H]1C2(F)F,C(=Cc1ccccn1)c1cccc(C2N=CSC3CC32)c1,1,0.0,2019,2019,1
EXT_00265,DKIWJWSKVCKJPV-RLFYNMQTSA-N,CHEMBL4226994,CC(F)(F)[C@H]1OC(N)=N[C@](C)(c2cc(NC(=O)c3cnc(OCF)cn3)ccc2F)[C@H]1F,O=C(Nc1cccc(C2CCOC=N2)c1)c1cnccn1,2,0.33,2018,2018,0
EXT_00266,DKJQDSFQSMLEKX-VRGNFYOHSA-N,CHEMBL5841370,C[C@H]1[C@H](O)CCN1C(=O)[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3ccc(C#N)cn3)ccc1F)N=C(N)S2,O=C(N1CCCC1)C12CC1C(c1cccc(C=Cc3ccccn3)c1)N=CS2,1,0.0,2019,2019,1
EXT_00267,DKOASLBBQZRFRK-HQSGPSHOSA-N,CHEMBL4588608,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CS3(=O)=NCCCCC3(C)C(N)=N2)c1,O=C(Nc1cccc(C2CS3(=O)=NCCCCC3C=N2)c1)c1ccccn1,1,0.0,2019,2019,1
EXT_00268,DKRZVJOGTBMHPK-KHAZCECESA-N,CHEMBL5839894,C[C@@H]1CC[C@@H](C)N1C(=O)[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3ccc(C#N)cn3)ccc1F)N=C(N)S2,O=C(N1CCCC1)C12CC1C(c1cccc(C=Cc3ccccn3)c1)N=CS2,1,0.0,2019,2019,1
EXT_00269,DLBWKNCRWZWDQQ-JXOCDECTSA-N,CHEMBL5898243,C#Cc1ccc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N(C)C)C[C@H]43)c2)nc1,C(=Cc1ccccn1)c1cccc(C2N=CSC3CC32)c1,1,0.0,2019,2019,1
EXT_00270,DLHIENGTCWBBLF-MMNKXQQRSA-N,CHEMBL5743934,C[C@]1(c2cc(/C=C(\F)c3ccc(C#N)cn3)ccc2F)N=C(N)S[C@@]2(C(=O)N3CCN(c4ccccc4)CC3)C[C@H]21,O=C(N1CCN(c2ccccc2)CC1)C12CC1C(c1cccc(C=Cc3ccccn3)c1)N=CS2,1,0.0,2019,2019,1
EXT_00271,DMTMESPCPCYRAA-ATPWARJRSA-N,CHEMBL5948258,CN1C(N)=N[C@](C)(c2cc(/C=C(\F)c3cnc(C#N)cn3)ccc2F)C(C)(C)S1(=O)=O,O=S1(=O)CC(c2cccc(C=Cc3cnccn3)c2)N=CN1,2,0.3,2021,2021,1
EXT_00272,DNKLRRSVLUYVBB-CSXVTCHCSA-N,CHEMBL6060078,CC1(C)C(N)=N[C@](C)(c2cc(/C=C(\F)c3cc4c(cn3)OCCO4)ccc2F)[C@H](F)S1(=O)=O,O=S1(=O)CC=NC(c2cccc(C=Cc3cc4c(cn3)OCCO4)c2)C1,2,0.375,2021,2021,1
