model,fold,MAE,RMSE,R2
Ridge,0,0.6639599106616909,0.8523597812063446,0.47127659097289887
Ridge,1,0.673579392689821,0.8675272196679459,0.4656940894928815
Ridge,2,0.6909845506543816,0.8961490774781803,0.4621166579339161
Ridge,mean,0.6761746180019644,0.8720120261174902,0.46636244613323213
Ridge,std,0.013697962895964736,0.0222364730490934,0.004616396729992739
RandomForest,0,0.5700966960700681,0.7414824160814604,0.5998854419399386
RandomForest,1,0.5642350535750053,0.736792559349198,0.6145977721072818
RandomForest,2,0.6017951116619452,0.7910179532697166,0.5809167997951615
RandomForest,mean,0.5787089537690062,0.7564309762334583,0.5984666712807939
RandomForest,std,0.020206873283075365,0.030044848550496633,0.016885249675675243
ExtraTrees,0,0.6291710673839186,0.8362411475438769,0.49108446609308276
ExtraTrees,1,0.6201215335221906,0.8339237627822156,0.5062848470530583
ExtraTrees,2,0.6348286364494806,0.8373352843192758,0.5304018740939844
ExtraTrees,mean,0.6280404124518633,0.8358333982151228,0.5092570624133752
ExtraTrees,std,0.007418457020163403,0.001741928367006255,0.019826502240395786
