policy,seed,n_queried,cumulative_high_activity_found,recall,best_pIC50_sofar
random,18,70,5,0.06329113924050633,9.1549015
random,18,80,5,0.06329113924050633,9.1549015
random,18,90,5,0.06329113924050633,9.1549015
random,18,100,7,0.08860759493670886,9.1549015
random,18,110,7,0.08860759493670886,9.1549015
random,18,120,7,0.08860759493670886,9.1549015
random,18,130,7,0.08860759493670886,9.1549015
random,18,140,7,0.08860759493670886,9.1549015
random,18,150,7,0.08860759493670886,9.1549015
random,19,30,0,0.0,8.3467875
random,19,40,1,0.012658227848101266,8.7447271
random,19,50,2,0.02531645569620253,8.7447271
random,19,60,5,0.06329113924050633,9.0
random,19,70,5,0.06329113924050633,9.0
random,19,80,5,0.06329113924050633,9.0
random,19,90,5,0.06329113924050633,9.0
random,19,100,5,0.06329113924050633,9.0
random,19,110,6,0.0759493670886076,9.0
random,19,120,8,0.10126582278481013,9.0
random,19,130,9,0.11392405063291139,9.0
random,19,140,9,0.11392405063291139,9.0
random,19,150,10,0.12658227848101267,9.0
surrogate_active_search,0,30,2,0.02531645569620253,8.6020603
surrogate_active_search,0,40,6,0.0759493670886076,9.0
surrogate_active_search,0,50,7,0.08860759493670886,9.0
surrogate_active_search,0,60,8,0.10126582278481013,9.0
surrogate_active_search,0,70,8,0.10126582278481013,9.0
surrogate_active_search,0,80,9,0.11392405063291139,9.0
surrogate_active_search,0,90,9,0.11392405063291139,9.0
surrogate_active_search,0,100,10,0.12658227848101267,9.0
surrogate_active_search,0,110,13,0.16455696202531644,9.0
surrogate_active_search,0,120,16,0.20253164556962025,9.0
surrogate_active_search,0,130,18,0.22784810126582278,9.0
surrogate_active_search,0,140,18,0.22784810126582278,9.0
surrogate_active_search,0,150,20,0.25316455696202533,9.0
surrogate_active_search,1,30,1,0.012658227848101266,9.1870871
surrogate_active_search,1,40,4,0.05063291139240506,9.1870871
surrogate_active_search,1,50,8,0.10126582278481013,10.522879
surrogate_active_search,1,60,10,0.12658227848101267,10.522879
surrogate_active_search,1,70,11,0.13924050632911392,10.522879
surrogate_active_search,1,80,12,0.1518987341772152,10.522879
surrogate_active_search,1,90,12,0.1518987341772152,10.522879
surrogate_active_search,1,100,13,0.16455696202531644,10.522879
surrogate_active_search,1,110,14,0.17721518987341772,10.522879
surrogate_active_search,1,120,18,0.22784810126582278,10.522879
surrogate_active_search,1,130,18,0.22784810126582278,10.522879
surrogate_active_search,1,140,19,0.24050632911392406,10.522879
surrogate_active_search,1,150,20,0.25316455696202533,10.522879
